zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
20588,UNIQUE,0,Dhs,"Cheltenham, Columbia",Dept Hs,MD,Howard County,America/New_York,410,,US,38.74,-76.85,0
20601,STANDARD,0,Waldorf,,,MD,Charles County,America/New_York,"240,301",,US,38.64,-76.9,24600
20602,STANDARD,0,Waldorf,Saint Charles,,MD,Charles County,America/New_York,"240,301",,US,38.58,-76.89,25200
20603,STANDARD,0,Waldorf,Saint Charles,,MD,Charles County,America/New_York,"240,301",,US,38.63,-76.98,29890
20604,PO BOX,0,Waldorf,Saint Charles,,MD,Charles County,America/New_York,240,,US,38.64,-76.9,1437
20606,STANDARD,0,Abell,,,MD,St. Mary's County,America/New_York,301,,US,38.25,-76.74,260
20607,STANDARD,0,Accokeek,,,MD,Prince George's County,America/New_York,301,,US,38.67,-77.01,11240
20608,STANDARD,0,Aquasco,Eagle Harbor,,MD,Prince George's County,America/New_York,240,,US,38.58,-76.7,750
20609,STANDARD,0,Avenue,,,MD,St. Mary's County,America/New_York,301,,US,38.27,-76.77,1050
20610,PO BOX,0,Barstow,,,MD,Calvert County,America/New_York,410,,US,38.52,-76.6,233
20611,STANDARD,0,Bel Alton,,,MD,Charles County,America/New_York,"240,301",,US,38.46,-76.98,990
20612,PO BOX,0,Benedict,,,MD,Charles County,America/New_York,240,,US,38.5,-76.68,319
20613,STANDARD,0,Brandywine,,,MD,Prince George's County,America/New_York,"240,301",,US,38.69,-76.85,13870
20615,STANDARD,0,Broomes Island,Broomes Is,,MD,Calvert County,America/New_York,410,,US,38.42,-76.55,370
20616,STANDARD,0,Bryans Road,,"Bryans Rd, Marshall Hall",MD,Charles County,America/New_York,301,,US,38.63,-77.07,6410
20617,STANDARD,0,Bryantown,,,MD,Charles County,America/New_York,240,,US,38.55,-76.84,900
20618,STANDARD,0,Bushwood,,,MD,St. Mary's County,America/New_York,301,,US,38.28,-76.78,700
20619,STANDARD,0,California,,,MD,St. Mary's County,America/New_York,301,,US,38.29,-76.49,12270
20620,STANDARD,0,Callaway,,,MD,St. Mary's County,America/New_York,"301,240",,US,38.23,-76.51,1350
20621,STANDARD,0,Chaptico,Maddox,,MD,St. Mary's County,America/New_York,301,,US,38.33,-76.8,1350
20622,STANDARD,0,Charlotte Hall,Charlott Hall,,MD,Charles County,America/New_York,240,,US,38.42,-76.87,4420
20623,STANDARD,0,Cheltenham,,,MD,Prince George's County,America/New_York,"240,301",,US,38.74,-76.84,2920
20624,STANDARD,0,Clements,,,MD,St. Mary's County,America/New_York,240,,US,38.34,-76.73,1180
20625,PO BOX,0,Cobb Island,,,MD,Charles County,America/New_York,240,,US,38.26,-76.85,799
20626,STANDARD,0,Coltons Point,,,MD,St. Mary's County,America/New_York,240,,US,38.23,-76.76,320
20627,PO BOX,0,Compton,,,MD,St. Mary's County,America/New_York,240,,US,38.3,-76.63,271
20628,STANDARD,0,Dameron,,,MD,St. Mary's County,America/New_York,240,,US,38.15,-76.36,570
20629,PO BOX,0,Dowell,,,MD,Calvert County,America/New_York,410,,US,38.34,-76.45,409
20630,STANDARD,0,Drayden,,,MD,St. Mary's County,America/New_York,301,,US,38.17,-76.47,450
20632,STANDARD,0,Faulkner,,,MD,Charles County,America/New_York,240,,US,38.43,-76.97,510
20634,STANDARD,0,Great Mills,,,MD,St. Mary's County,America/New_York,"240,301",,US,38.27,-76.51,7040
20635,PO BOX,0,Helen,,,MD,St Mary's County,America/New_York,240,,US,38.41,-76.73,24
20636,STANDARD,0,Hollywood,,,MD,St. Mary's County,America/New_York,301,,US,38.34,-76.57,9970
20637,STANDARD,0,Hughesville,,,MD,Charles County,America/New_York,"240,301",,US,38.53,-76.78,5530
20639,STANDARD,0,Huntingtown,,,MD,Calvert County,America/New_York,"410,443",,US,38.61,-76.61,14890
20640,STANDARD,0,Indian Head,Pisgah,,MD,Charles County,America/New_York,"240,301",,US,38.59,-77.15,9000
20643,PO BOX,0,Ironsides,,,MD,Charles County,America/New_York,240,,US,38.49,-77.16,43
20645,STANDARD,0,Issue,Swan Point,,MD,Charles County,America/New_York,"240,301",,US,38.29,-76.91,760
20646,STANDARD,0,La Plata,Dentsville,Laplata,MD,Charles County,America/New_York,"240,301",,US,38.53,-76.97,18590
20650,STANDARD,0,Leonardtown,,,MD,St. Mary's County,America/New_York,"240,301",,US,38.29,-76.64,13220
20653,STANDARD,0,Lexington Park,Lexington Pk,Lex Pk,MD,St. Mary's County,America/New_York,"240,301",,US,38.24,-76.43,21450
20656,STANDARD,0,Loveville,,,MD,St. Mary's County,America/New_York,301,,US,38.35,-76.67,519
20657,STANDARD,0,Lusby,,,MD,Calvert County,America/New_York,410,,US,38.41,-76.45,18020
20658,STANDARD,0,Marbury,Rison,,MD,Charles County,America/New_York,240,,US,38.56,-77.16,1020
20659,STANDARD,0,Mechanicsville,Mechanicsvlle,,MD,St. Mary's County,America/New_York,"240,301",,US,38.43,-76.73,22740
20660,PO BOX,0,Morganza,,,MD,St. Mary's County,America/New_York,240,,US,38.37,-76.71,239
20661,PO BOX,0,Mount Victoria,Mt Victoria,,MD,Charles County,America/New_York,240,,US,38.33,-76.91,62
20662,STANDARD,0,Nanjemoy,,,MD,Charles County,America/New_York,"240,301",,US,38.45,-77.21,2400
20664,STANDARD,0,Newburg,,,MD,Charles County,America/New_York,"301,240",,US,38.34,-76.92,2560
20667,STANDARD,0,Park Hall,,,MD,St. Mary's County,America/New_York,240,,US,38.22,-76.44,460
20670,STANDARD,0,Patuxent River,Patuxent Riv,Patuxent River Naval Air Sta,MD,St. Mary's County,America/New_York,"240,301",,US,38.28,-76.42,1290
20674,STANDARD,0,Piney Point,,Piney Pt,MD,St. Mary's County,America/New_York,301,,US,38.13,-76.5,670
20675,STANDARD,0,Pomfret,,,MD,Charles County,America/New_York,301,,US,38.58,-77.02,1720
20676,STANDARD,0,Port Republic,,,MD,Calvert County,America/New_York,"443,410",,US,38.49,-76.54,3270
20677,STANDARD,0,Port Tobacco,,,MD,Charles County,America/New_York,"240,301",,US,38.49,-77.04,2380
20678,STANDARD,0,Prince Frederick,"Dares Beach, Prnc Frederck",Pr Frederick,MD,Calvert County,America/New_York,"410,443",,US,38.54,-76.58,10740
20680,STANDARD,0,Ridge,,,MD,St. Mary's County,America/New_York,"240,301",,US,38.11,-76.37,820
20682,PO BOX,0,Rock Point,,"Newburg, Rock Pt",MD,Charles County,America/New_York,240,,US,38.34,-76.92,0
20684,STANDARD,0,Saint Inigoes,,"Beachville, St Inigoes",MD,St. Mary's County,America/New_York,240,,US,38.15,-76.41,1130
20685,STANDARD,0,Saint Leonard,,St Leonard,MD,Calvert County,America/New_York,410,,US,38.47,-76.5,6400
20686,PO BOX,0,Saint Marys City,"Saint Marys, St Marys City",,MD,St. Mary's County,America/New_York,240,,US,38.18,-76.42,290
20687,STANDARD,0,Scotland,,,MD,St. Mary's County,America/New_York,240,,US,38.07,-76.34,270
20688,STANDARD,0,Solomons,,,MD,Calvert County,America/New_York,"410,443,667",,US,38.33,-76.46,1790
20689,STANDARD,0,Sunderland,,,MD,Calvert County,America/New_York,410,,US,38.66,-76.58,1910
20690,STANDARD,0,Tall Timbers,,,MD,St. Mary's County,America/New_York,"240,301",,US,38.16,-76.53,750
20692,STANDARD,0,Valley Lee,,,MD,St. Mary's County,America/New_York,301,,US,38.18,-76.5,1020
20693,STANDARD,0,Welcome,,,MD,Charles County,America/New_York,240,,US,38.45,-77.08,1070
20695,STANDARD,0,White Plains,,,MD,Charles County,America/New_York,301,,US,38.59,-76.97,10130
20697,UNIQUE,0,Southern Md Facility,Sthrn Md Fac,Southern Md Brmas,MD,Prince George's County,America/New_York,240,,US,39.03,-76.9,0
20701,STANDARD,0,Annapolis Junction,Annapolis Jct,,MD,Howard County,America/New_York,"410,443",,US,39.12,-76.77,142
20703,PO BOX,0,Lanham,Lanham Seabrook,Seabrook,MD,Prince George's County,America/New_York,240,,US,38.96,-76.85,411
20704,PO BOX,0,Beltsville,,,MD,Prince George's County,America/New_York,240,,US,39.03,-76.92,412
20705,STANDARD,0,Beltsville,Calverton,,MD,Prince George's County,America/New_York,"240,301,410",,US,39.03,-76.92,27880
20706,STANDARD,0,Lanham,"Glenarden, Lanham Seabrook, Seabrook",,MD,Prince George's County,America/New_York,"240,301",,US,38.96,-76.85,42660
20707,STANDARD,0,Laurel,,,MD,Prince George's County,America/New_York,"240,301,410,443",,US,39.1,-76.88,34030
20708,STANDARD,0,Laurel,Montpelier,,MD,Prince George's County,America/New_York,"240,301,410,443",,US,39.09,-76.85,26450
20709,PO BOX,0,Laurel,Montpelier,,MD,Prince George's County,America/New_York,240,,US,39.09,-76.85,348
20710,STANDARD,0,Bladensburg,,,MD,Prince George's County,America/New_York,"240,301",,US,38.94,-76.92,9690
