File,Last Name,First Name,Street Address 1,Street Address 2,City,State,Zip Code,Phone,Email,License Number,License Status,Company Domain,Company,Full Name,County,Issue Date,Expiration Date,Fax Number,DBA Name
http://search.msboc.us/Detail.cfm?ContractorID=28173&ContractorType=Commercial&varDataSource=BOC,,,P.O. BOX 116,,ELLISVILLE,MS,39437,601-297-4920,,22500-MC,,,"3D MECHANICAL, ELECTRICAL AND PLUMBING, LLC",WILLIAM FARRISH,JONES,11/15/2017,11/15/2019,,
http://search.msboc.us/Detail.cfm?ContractorID=21415&ContractorType=Commercial&varDataSource=BOC,,,27716 HWY 310E,,COMO,MS,38619,662-526-2299,,18475-MC,,,A & J PLUMBING LLC,JONATHAN WADE ALDRIDGE,PANOLA,07/19/2010,12/17/2019,662-526-2297,
http://search.msboc.us/Detail.cfm?ContractorID=25522&ContractorType=Commercial&varDataSource=BOC,,,45 HARDY CT. CTR #297,,GULFPORT,MS,39507,228-224-4889,,21274-SC,,,A TO Z PLUMBING AND HVAC LLC,ROBERT THOMAS,HARRISON,08/05/2015,08/18/2019,,
http://search.msboc.us/Detail.cfm?ContractorID=15648&ContractorType=Commercial&varDataSource=BOC,,,195 BOHN STREET,,BILOXI,MS,39530,(228)432-8480,,02778-MC,,,"A. H. LANK PATTERSON CO., INC.",A.H. LANK PATTERSON/RANDALL PATTERSON,HARRISON,01/05/1971,10/26/2019,,
http://search.msboc.us/Detail.cfm?ContractorID=28302&ContractorType=Commercial&varDataSource=BOC,,,114 YARBOROUGH PLACE,,WAVELAND,MS,39576,228-493-0236,,22536-SC,,,"AC PLUMBING, LLC",COREY P. CHIASSON,HANCOCK,12/06/2017,01/05/2020,,
http://search.msboc.us/Detail.cfm?ContractorID=9404&ContractorType=Commercial&varDataSource=BOC,,,POST OFFICE BOX 6777,,D'IBERVILLE,MS,39540-6777,(228)396-5200,,07267-MC,,,"ACE CONTRACTORS, INC.",JAMES LIVELY,,04/07/1987,04/08/2020,(228)396-0710,
http://search.msboc.us/Detail.cfm?ContractorID=29964&ContractorType=Commercial&varDataSource=BOC,,,5385 COHAY DRIVE,,HORNLAKE,MS,38637,228-233-9080,,23000-SC,,,ACE PLUMBING SERVICES LLC,JACOB ADOLPH LEPRE,DESOTO,11/28/2018,11/28/2019,,
http://search.msboc.us/Detail.cfm?ContractorID=21737&ContractorType=Commercial&varDataSource=BOC,,,1204 IRIS ST.,,LONG BEACH,MS,39560,228-861-0177,,18559-SC,,,"ACE PLUMBING, LLC",MICHEAL BIEGEL,HARRISON,10/13/2010,06/04/2019,,
http://search.msboc.us/Detail.cfm?ContractorID=9433&ContractorType=Commercial&varDataSource=BOC,,,POST OFFICE BOX 724,,WINONA,MS,38967,662-283-4324,,03289-MC,,,"ACY MECHANICAL, LLC",BOBBY ACY,MONTGOMERY,01/02/1974,04/08/2020,662-283-1757,
http://search.msboc.us/Detail.cfm?ContractorID=9519&ContractorType=Commercial&varDataSource=BOC,,,P.O. BOX 727 1633 HWY 90,,GAUTIER,MS,39553,(228)497-6462,,05139-MC,,,"AIR MASTERS MECHANICAL, INCORPORATED",W.TY CRAWFORD/DANIEL TAYLOR/JUSTIN MOORE,JACKSON,01/06/1981,07/10/2020,228-205-06060,
http://search.msboc.us/Detail.cfm?ContractorID=23269&ContractorType=Commercial&varDataSource=BOC,,,28284 HWY 603,,PERKINSTON,MS,39573,228-255-5570,,19618-MC,,,"ALAMO MECHANICAL, LLC",KEITH LADNER,STONE,08/08/2012,07/10/2019,877-255-3123,
http://search.msboc.us/Detail.cfm?ContractorID=28810&ContractorType=Commercial&varDataSource=BOC,,,P.O. BOX 40617,,MEMPHIS,TN,38104,901-272-2507,,22831-SC,,,ALBERT COOK PLUMBING COMPANY,ROBERT COOK,,07/18/2018,07/18/2020,901-276-1632,
http://search.msboc.us/Detail.cfm?ContractorID=18889&ContractorType=Commercial&varDataSource=BOC,,,199 SULLIVAN KILRAIN RDD,,HATTIESBURG,MS,39402,601-583-2575,,15995-MC,,,"AMERICAN AIR SPECIALISTS OF MISSISSIPPI, INC.",HOWARD TUCKER JR.,LAMAR,03/06/2007,01/14/2020,601-544-7746,
http://search.msboc.us/Detail.cfm?ContractorID=28872&ContractorType=Commercial&varDataSource=BOC,,,693 N VARNELL RD.,,TUNNEL HILL,GA,30755,706-516-0048,,23053-SC,,,AMERICAN PLUMBING PROFESSIONALS INC.,ANDREW MILLER,,01/16/2019,01/16/2020,,
http://search.msboc.us/Detail.cfm?ContractorID=21082&ContractorType=Commercial&varDataSource=BOC,,,3752 GARDENVIEW RD,,PACE,FL,32571,850-994-8814,,18356-SC,,,"AMORE PLUMBING COMPANY, INC.",GARY JOHNSON,,05/10/2010,07/20/2019,850-995-4589,
http://search.msboc.us/Detail.cfm?ContractorID=23332&ContractorType=Commercial&varDataSource=BOC,,,965 RIDGE LAKE BLVD. STE. 201,,MEMPHIS,TN,38120,901-271-9838,,19668-MC,,,ARS ACQUISITION HOLDINGS LLC DBA CONWAY SERVICES,JOHN CONWAY,,09/19/2012,07/26/2019,901-271-9706,
http://search.msboc.us/Detail.cfm?ContractorID=23728&ContractorType=Commercial&varDataSource=BOC,,,403 L.F. PACKER DR.,,RULEVILLE,MS,39771,662-402-9873,,20049-MC,,,"B & B CONTRACTING MANAGEMENT SERVICES, INC",R.L. BRAND,WEBSTER,07/03/2013,08/08/2019,662-756-0516,
http://search.msboc.us/Detail.cfm?ContractorID=22005&ContractorType=Commercial&varDataSource=BOC,,,137 EXECUTIVE DR. STE. H,,MADISON,MS,39110,601-292-7799,,18717-MC,,,"BAILEY MECHANICAL, LLC",JAMES BAILEY,MADISON,12/30/2010,10/08/2019,601-292-7156,
http://search.msboc.us/Detail.cfm?ContractorID=16198&ContractorType=Commercial&varDataSource=BOC,,,POST OFFICE BOX 5428,,BRANDON,MS,39047,601-954-7814,,08798-SC,,,"BARRY RAY DBA B. RAY'S HVAC & PLBG, LLC",BARRY RAY,RANKIN,04/10/1991,11/20/2019,(662)289-3580,
