File,Last Name,First Name,Street Address 1,Street Address 2,City,State,Zip Code,Phone,Email,License Number,License Status,Company Domain,Company,Certificate Expires,Certificate Registered,Contractor Name,Corporation Name,Entity,Registration Number,Employees,Worker Compensation Status
https://dol.nebraska.gov/conreg/Contractor/Details/4021418,,,13009 woodridge cr,"Bellevue, NE 68123",Bellevue,NE,68123,4029332939,,,,,1 priority plumbing llc,11/1/2019,11/1/2018,1 priority plumbing llc,,LLC,40214-18,4,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/8001619,,,1410 W 3rd St,"Grand Island, NE 68801",Grand Island,NE,68801,3083810813,,,,,24/7 Heating & Air LLC,4/1/2020,4/1/2019,24/7 Heating & Air LLC,,LLC,80016-19,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/2087218,,,8102 SERUM AVENUE,"RALSTON, NE 68127",RALSTON,NE,68127,4023312049,,,,,"3 Bushs LLC dba AB Refrigeration, Inc",6/1/2019,6/1/2018,"3 Bushs LLC dba AB Refrigeration, Inc",,Corporation,20872-18,12,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/4189618,,,2501 MURRAY ST SUITE B,"SIOUX CITY, IA 51111",SIOUX CITY,IA,51111,7122263874,,,,,3T SERVICES INC,8/1/2019,8/1/2018,3T SERVICES INC,3T SERVICES INC,S-Corporation,41896-18,3,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/3930419,,,304 West 4th Street,"Alliance, NE 69301",Alliance,NE,69301,3087623044,,,,,4th Street Fencing,4/15/2020,4/15/2019,4th Street Fencing,,Sole Proprietorship,39304-19,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/4306119,,,8413 s 64 ave,"Papillion, NE 68157",Papillion,NE,68157,4023065422,,,,,a man and a pipe wrench inc,4/1/2020,4/1/2019,a man and a pipe wrench inc,a man and a pipe wrench inc,S-Corporation,43061-19,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/3302318,,,3913 N,210TH STREET,ELKHORN,NE,68022,4022892970,,,,,A Plus Heating & Cooling,7/1/2019,7/1/2018,A Plus Heating & Cooling,,S-Corporation,33023-18,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/3169418,,,6302 Northern Hills Drive,"Omaha, NE 68152",Omaha,NE,68152,7122560689,,,,,A RAYMOND PLUMBING,12/15/2019,12/15/2018,A RAYMOND PLUMBING,A Raymond Plumbing,Corporation,31694-18,20,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/3321418,,,6408 S 177th street,"Omaha, NE 68135",Omaha,NE,68135,4029323899,,,,,A&A Plumbing & Drain Services Inc.,8/1/2019,8/1/2018,A&A Plumbing & Drain Services Inc.,,S-Corporation,33214-18,4,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/7437018,,,PO Box 333,"Superior, NE 68978",Superior,NE,68978,4028794404,,,,,"A&K Plumbing, Inc",7/11/2019,7/11/2018,"A&K Plumbing, Inc","A&K Plumbing, Inc",S-Corporation,74370-18,2,Certificate on File
https://dol.nebraska.gov/conreg/Contractor/Details/4125819,,,111 morningside st.,"council bluffs, IA 51503",council bluffs,IA,51503,4024904180,,,,,A.R.A. Service Co.,4/15/2020,4/15/2019,A.R.A. Service Co.,,Sole Proprietorship,41258-19,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/2860718,,,3840 PACE BLVD.,"LINCOLN, NE 68502",LINCOLN,NE,68502,4025256904,,,,,A+ PLUMBING INC,6/15/2019,6/15/2018,A+ PLUMBING INC,A+ PLUMBING INC,S-Corporation,28607-18,0,Exempt
https://dol.nebraska.gov/conreg/Contractor/Details/2837818,,,1449 N BROWN,"MINDEN, NE 68959",MINDEN,NE,68959,3088320251,,,,,"A-1 REFRIGERATION, HEATING & A/C INC.",7/1/2019,7/1/2018,"A-1 REFRIGERATION, HEATING & A/C INC.","A-1 refrigeration, heating, air conditioning, plumbing, inc",Corporation,28378-18,9,Certificate on File
